OrderID,OrderDate,ProductID,ProductName,Category,Quantity,UnitPrice,CostPerUnit,Discount,CustomerType,PaymentMode
ORD00001,2024-11-25 14:18:00,P302,Nachos,Snack,1,90,50,15.0,Returning,Card
ORD00002,2025-01-16 13:21:00,P203,Grilled Sandwich,Meal,5,150,90,15.0,Returning,Wallet
ORD00003,2025-05-02 22:24:00,P104,Iced Tea,Beverages,6,80,45,10.0,Returning,Card
ORD00004,2024-05-25 11:41:00,P301,Potato Chips,Snacks,6,40,20,25.0,Returning,Card
ORD00005,2024-01-26 19:43:00,P303,Cookies,Snacks,5,25,12,15.0,Returning,Card
ORD00006,2025-10-27 19:20:00,P103,Cappuccino,Beverages,2,140,80,,New,UPI
ORD00007,2025-10-12 10:00:00,P102,Lemonade,Beverage,2,60,30,,New,Cash
ORD00008,2025-07-04 15:57:00,P104,Iced Tea,Beverages,3,80,45,5.0,Returning,UPI
ORD00009,2025-09-26 19:12:00,P103,Cappuccino,Beverages,4,140,80,,New,Cash
ORD00010,2024-07-19 11:21:00,P303,Cookies,Snacks,6,25,12,25.0,New,Cash
ORD00011,2024-12-19 11:26:00,P301,Potato Chips,Snacks,6,40,20,25.0,Returning,Cash
ORD00012,2024-10-18 20:55:00,P302,Nachos,Snack,2,90,50,,New,Card
ORD00013,2024-10-26 14:10:00,P101,Cold Coffee,Beverages,1,120,70,0.0,New,Card
ORD00014,2024-08-29 12:36:00,P303,Cookies,Snacks,6,25,12,5.0,Returning,Wallet
ORD00015,2024-09-06 12:01:00,P101,Cold Coffee,Beverages,5,120,70,0.0,Returning,Wallet
ORD00016,2024-08-08 18:47:00,P203,Grilled Sandwich,Meal,4,150,90,0.0,Returning,Cash
ORD00017,2024-02-16 12:50:00,P102,Lemonade,Beverage,5,60,30,,Returning,Card
ORD00018,2024-08-03 16:00:00,P303,Cookies,Snacks,2,25,12,0.0,Returning,Cash
ORD00019,2025-02-15 20:03:00,P101,Cold Coffee,Beverages,6,120,70,20.0,Returning,Cash
ORD00020,2025-01-24 13:26:00,P102,Lemonade,Beverage,4,60,30,0.0,Returning,Wallet
ORD00021,2024-10-06 22:40:00,P103,Cappuccino,Beverages,6,140,80,25.0,Returning,Wallet
ORD00022,2025-07-05 16:21:00,P104,Iced Tea,Beverages,1,80,45,10.0,Returning,Cash
ORD00023,2025-03-14 21:04:00,P202,Veg Pizza,Meals,4,300,190,15.0,Returning,Card
ORD00024,2024-01-29 10:50:00,P203,Grilled Sandwich,Meal,1,150,90,15.0,New,UPI
ORD00025,2025-07-06 22:47:00,P303,Cookies,Snacks,1,25,12,15.0,Returning,Card
ORD00026,2025-05-23 16:39:00,P301,Potato Chips,Snacks,5,40,20,,New,Cash
ORD00027,2025-07-04 10:56:00,P104,Iced Tea,Beverages,2,80,45,0.0,New,Wallet
ORD00028,2024-04-29 21:38:00,P201,Cheese Burger,Meals,3,180,110,20.0,Returning,Card
ORD00029,2024-03-12 10:33:00,P102,Lemonade,Beverage,4,60,30,20.0,New,Card
ORD00030,2024-10-23 22:45:00,P203,Grilled Sandwich,Meal,2,150,90,15.0,Returning,Wallet
ORD00031,2024-12-12 17:18:00,P303,Cookies,Snacks,1,25,12,0.0,Returning,Wallet
ORD00032,2025-08-28 17:59:00,P303,Cookies,Snacks,5,25,12,5.0,Returning,Cash
ORD00033,2024-04-22 08:29:00,P201,Cheese Burger,Meals,1,180,110,5.0,New,Wallet
ORD00034,2024-02-28 16:19:00,P201,Cheese Burger,Meals,5,180,110,5.0,Returning,Wallet
ORD00035,2024-02-27 08:30:00,P101,Cold Coffee,Beverages,1,120,70,10.0,Returning,Cash
ORD00036,2025-10-06 20:24:00,P203,Grilled Sandwich,Meal,6,150,90,,New,Cash
ORD00037,2025-02-23 17:45:00,P201,Cheese Burger,Meals,2,180,110,,Returning,Cash
ORD00038,2025-11-11 10:18:00,P203,Grilled Sandwich,Meal,5,150,90,20.0,New,Card
ORD00039,2024-12-16 19:12:00,P201,Cheese Burger,Meals,6,180,110,,New,Cash
ORD00040,2025-03-13 16:42:00,P104,Iced Tea,Beverages,2,80,45,20.0,New,Wallet
ORD00041,2025-06-25 15:24:00,P303,Cookies,Snacks,2,25,12,,Returning,Wallet
ORD00042,2024-10-18 15:13:00,P302,Nachos,Snack,2,90,50,15.0,Returning,Wallet
ORD00043,2025-04-28 19:11:00,P203,Grilled Sandwich,Meal,1,150,90,,New,Card
ORD00044,2024-12-30 08:56:00,P102,Lemonade,Beverage,6,60,30,10.0,Returning,Wallet
ORD00045,2024-06-08 16:58:00,P302,Nachos,Snack,1,90,50,,New,UPI
ORD00046,2024-06-25 19:31:00,P203,Grilled Sandwich,Meal,3,150,90,10.0,New,Card
ORD00047,2024-01-16 09:23:00,P101,Cold Coffee,Beverages,1,120,70,5.0,Returning,Wallet
ORD00048,2025-09-18 08:50:00,P201,Cheese Burger,Meals,4,180,110,25.0,Returning,Wallet
ORD00049,2025-05-03 17:13:00,P302,Nachos,Snack,4,90,50,0.0,Returning,Wallet
ORD00050,2025-05-29 17:49:00,P104,Iced Tea,Beverages,5,80,45,10.0,Returning,Wallet
ORD00051,2025-08-08 15:55:00,P103,Cappuccino,Beverages,4,140,80,25.0,New,Card
ORD00052,2025-12-05 21:22:00,P202,Veg Pizza,Meals,2,300,190,20.0,New,Cash
ORD00053,2025-02-14 15:19:00,P302,Nachos,Snack,2,90,50,5.0,Returning,Wallet
ORD00054,2024-12-07 14:03:00,P301,Potato Chips,Snacks,2,40,20,10.0,Returning,UPI
ORD00055,2024-03-02 17:09:00,P103,Cappuccino,Beverages,1,140,80,20.0,Returning,Cash
ORD00056,2025-01-17 10:42:00,P202,Veg Pizza,Meals,6,300,190,25.0,New,Card
ORD00057,2025-02-14 14:20:00,P103,Cappuccino,Beverages,6,140,80,5.0,New,Cash
ORD00058,2024-08-04 16:05:00,P104,Iced Tea,Beverages,3,80,45,0.0,Returning,Wallet
ORD00059,2025-07-11 17:35:00,P101,Cold Coffee,Beverages,2,120,70,10.0,New,UPI
ORD00060,2025-05-04 22:36:00,P201,Cheese Burger,Meals,3,180,110,5.0,New,Card
ORD00061,2025-11-28 21:49:00,P202,Veg Pizza,Meals,1,300,190,5.0,Returning,Card
ORD00062,2024-11-14 11:38:00,P303,Cookies,Snacks,5,25,12,0.0,New,Cash
ORD00063,2024-07-14 11:21:00,P301,Potato Chips,Snacks,5,40,20,20.0,Returning,Cash
ORD00064,2024-11-19 10:36:00,P302,Nachos,Snack,6,90,50,0.0,New,UPI
ORD00065,2025-03-22 16:33:00,P102,Lemonade,Beverage,6,60,30,5.0,New,Wallet
ORD00066,2024-01-26 12:26:00,P101,Cold Coffee,Beverages,4,120,70,,Returning,Card
ORD00067,2025-06-28 20:44:00,P201,Cheese Burger,Meals,1,180,110,,New,Card
ORD00068,2025-03-26 17:31:00,P103,Cappuccino,Beverages,3,140,80,15.0,New,UPI
ORD00069,2025-07-28 22:04:00,P201,Cheese Burger,Meals,2,180,110,10.0,Returning,Wallet
